Report Date,Health District,Sex,Number of Cases,Number of Hospitalizations,Number of Deaths
09/03/2020,Thomas Jefferson,Not Reported,3,0,0
09/03/2020,Three Rivers,Not Reported,22,0,0
09/03/2020,Hampton,Male,707,36,7
09/03/2020,Alleghany,Male,563,37,9
09/03/2020,Roanoke,Female,629,27,9
09/03/2020,Loudoun,Not Reported,51,0,0
09/03/2020,Fairfax,Female,9621,900,279
09/03/2020,Western Tidewater,Male,1327,90,48
09/03/2020,Peninsula,Not Reported,15,0,0
09/03/2020,New River,Male,763,26,6
09/03/2020,Central Shenandoah,Male,1662,114,32
09/03/2020,Southside,Male,556,39,17
09/03/2020,Chesterfield,Male,2677,160,58
09/03/2020,Arlington,Female,1772,206,65
09/03/2020,Rappahannock,Male,2135,186,37
09/03/2020,Central Virginia,Male,1147,44,11
09/03/2020,Alleghany,Not Reported,6,0,0
09/03/2020,Henrico,Male,2218,194,90
09/03/2020,Thomas Jefferson,Male,1200,83,26
09/03/2020,Lord Fairfax,Male,1336,133,47
09/03/2020,Three Rivers,Male,760,46,9
09/03/2020,Richmond,Not Reported,50,2,2
09/03/2020,Pittsylvania-Danville,Male,649,43,8
09/03/2020,Portsmouth,Not Reported,3,0,0
09/03/2020,Norfolk,Not Reported,2,0,0
09/03/2020,Chesapeake,Male,1724,162,27
09/03/2020,Chickahominy,Female,729,72,22
09/03/2020,Prince William,Male,6541,591,125
09/03/2020,Eastern Shore,Not Reported,9,0,0
09/03/2020,Eastern Shore,Male,711,67,22
09/03/2020,Rappahannock Rapidan,Male,1114,90,19
09/03/2020,Henrico,Not Reported,26,0,0
09/03/2020,Cumberland Plateau,Female,294,23,5
09/03/2020,West Piedmont,Male,720,90,21
09/03/2020,Hampton,Not Reported,5,0,0
09/03/2020,Alexandria,Not Reported,10,0,0
09/03/2020,Western Tidewater,Not Reported,5,0,0
09/03/2020,Cumberland Plateau,Not Reported,0,0,0
09/03/2020,Virginia Beach,Male,2772,156,37
09/03/2020,Alleghany,Female,638,25,13
09/03/2020,Lenowisco,Female,368,30,4
09/03/2020,Virginia Beach,Not Reported,15,0,0
09/03/2020,Western Tidewater,Female,1629,71,45
09/03/2020,Mount Rogers,Male,920,119,46
09/03/2020,Lord Fairfax,Female,1491,117,50
09/03/2020,Piedmont,Not Reported,5,0,0
09/03/2020,Alexandria,Male,1642,163,28
09/03/2020,Pittsylvania-Danville,Not Reported,8,0,0
09/03/2020,West Piedmont,Not Reported,8,0,0
09/03/2020,Loudoun,Female,3054,173,72
09/03/2020,Hampton,Female,877,18,9
09/03/2020,Henrico,Female,2463,189,104
09/03/2020,Prince William,Not Reported,116,1,0
09/03/2020,Chickahominy,Male,545,71,26
09/03/2020,Rappahannock Rapidan,Not Reported,12,0,0
09/03/2020,Peninsula,Female,1989,87,33
09/03/2020,Lenowisco,Not Reported,7,0,0
09/03/2020,Crater,Not Reported,50,1,0
09/03/2020,Chickahominy,Not Reported,6,0,0
09/03/2020,Portsmouth,Male,1006,86,19
09/03/2020,New River,Female,758,11,3
09/03/2020,Rappahannock,Female,2410,167,25
09/03/2020,Central Virginia,Female,1274,37,8
09/03/2020,Roanoke,Not Reported,13,0,0
09/03/2020,West Piedmont,Female,936,110,15
09/03/2020,Mount Rogers,Female,1139,70,28
09/03/2020,Piedmont,Male,1175,76,30
09/03/2020,Chesterfield,Female,2799,144,51
09/03/2020,Fairfax,Male,9100,1198,292
09/03/2020,Crater,Male,1800,117,39
09/03/2020,Central Virginia,Not Reported,13,0,0
09/03/2020,Prince William,Female,6757,453,94
09/03/2020,Virginia Beach,Female,3341,170,33
09/03/2020,Norfolk,Female,2324,151,26
09/03/2020,Three Rivers,Female,535,48,11
09/03/2020,Arlington,Male,1809,264,76
09/03/2020,Central Shenandoah,Female,1952,123,30
09/03/2020,Southside,Female,508,32,20
12/15/2020,Peninsula,Female,4048,153,56
12/15/2020,Lenowisco,Not Reported,75,1,0
12/15/2020,Crater,Not Reported,74,3,0
12/15/2020,Chickahominy,Not Reported,59,0,0
12/15/2020,Portsmouth,Male,1724,172,33
12/15/2020,New River,Female,4118,106,45
12/15/2020,Rappahannock,Female,5307,254,45
12/15/2020,Central Virginia,Female,4718,142,42
12/15/2020,Roanoke,Not Reported,18,0,0
12/15/2020,West Piedmont,Female,3157,213,58
12/15/2020,Mount Rogers,Female,4569,246,99
12/15/2020,Piedmont,Male,2461,125,48
12/15/2020,Chesterfield,Female,6316,306,85
12/15/2020,Fairfax,Male,18191,1546,347
12/15/2020,Crater,Male,3594,166,57
12/15/2020,Central Virginia,Not Reported,259,2,1
12/15/2020,Prince William,Female,12630,595,117
12/15/2020,Virginia Beach,Female,7017,307,61
12/15/2020,Norfolk,Female,3814,267,47
12/15/2020,Three Rivers,Female,1756,98,25
12/15/2020,Arlington,Male,3774,344,92
12/15/2020,Central Shenandoah,Female,6474,225,64
12/15/2020,Southside,Female,1332,59,39
12/23/2020,Southside,Not Reported,22,0,0
12/23/2020,Chesapeake,Female,4541,304,49
12/23/2020,Richmond,Female,4423,274,34
12/23/2020,Roanoke,Male,2132,67,43
12/23/2020,Fairfax,Not Reported,281,3,8
12/23/2020,Thomas Jefferson,Female,3615,173,45
12/23/2020,Chesapeake,Not Reported,24,0,1
12/23/2020,Cumberland Plateau,Male,2091,111,35
12/23/2020,Eastern Shore,Female,1044,84,27
12/23/2020,Lord Fairfax,Not Reported,58,0,1
12/23/2020,Rappahannock,Not Reported,169,0,0
12/23/2020,Central Shenandoah,Not Reported,323,1,1
12/23/2020,Peninsula,Male,4192,191,56
12/23/2020,Norfolk,Male,4006,258,54
12/23/2020,Alexandria,Female,3597,188,39
12/23/2020,Lenowisco,Male,2020,125,57
12/23/2020,Pittsylvania-Danville,Female,2564,173,57
12/23/2020,New River,Not Reported,72,0,2
09/04/2020,Southside,Not Reported,4,0,0
09/04/2020,Chesapeake,Female,2145,177,22
09/04/2020,Richmond,Female,2008,188,18
09/04/2020,Roanoke,Male,569,22,6
09/04/2020,Fairfax,Not Reported,137,2,5
09/04/2020,Thomas Jefferson,Female,1372,88,31
09/04/2020,Chesapeake,Not Reported,5,0,0
09/04/2020,Cumberland Plateau,Male,266,25,4
09/04/2020,Eastern Shore,Female,735,69,26
09/04/2020,Lord Fairfax,Not Reported,13,0,0
09/04/2020,Rappahannock,Not Reported,6,1,0
09/04/2020,Central Shenandoah,Not Reported,5,0,0
09/04/2020,Peninsula,Male,1872,94,25
09/04/2020,Norfolk,Male,2132,149,33
09/04/2020,Alexandria,Female,1796,138,34
09/04/2020,Lenowisco,Male,376,35,8
09/04/2020,Pittsylvania-Danville,Female,801,61,12
09/04/2020,New River,Not Reported,13,0,0
09/04/2020,Chesterfield,Not Reported,130,0,1
09/04/2020,Loudoun,Male,3001,220,46
09/04/2020,Rappahannock Rapidan,Female,1199,64,12
09/04/2020,Piedmont,Female,560,51,10
09/04/2020,Richmond,Male,1995,191,29
09/04/2020,Crater,Female,1426,135,39
09/04/2020,Portsmouth,Female,1256,104,23
09/04/2020,Arlington,Not Reported,6,0,0
09/04/2020,Mount Rogers,Not Reported,13,0,1
09/04/2020,Thomas Jefferson,Not Reported,4,0,0
09/04/2020,Three Rivers,Not Reported,22,0,0
09/04/2020,Hampton,Male,713,36,7
09/04/2020,Alleghany,Male,570,37,9
09/04/2020,Roanoke,Female,638,28,9
09/04/2020,Loudoun,Not Reported,48,0,0
09/04/2020,Fairfax,Female,9662,900,279
09/04/2020,Western Tidewater,Male,1348,90,49
09/04/2020,Peninsula,Not Reported,15,0,0
09/04/2020,New River,Male,822,26,6
09/04/2020,Central Shenandoah,Male,1691,116,33
09/04/2020,Southside,Male,574,39,17
09/04/2020,Chesterfield,Male,2689,163,58
09/04/2020,Arlington,Female,1782,206,66
09/04/2020,Rappahannock,Male,2153,191,40
09/04/2020,Central Virginia,Male,1164,46,11
09/04/2020,Alleghany,Not Reported,6,0,0
09/04/2020,Henrico,Male,2228,196,90
09/04/2020,Thomas Jefferson,Male,1221,83,26
09/04/2020,Lord Fairfax,Male,1340,134,47
09/04/2020,Three Rivers,Male,768,46,9
09/04/2020,Richmond,Not Reported,49,2,2
09/04/2020,Pittsylvania-Danville,Male,665,43,8
09/04/2020,Portsmouth,Not Reported,3,0,0
09/04/2020,Norfolk,Not Reported,2,0,0
09/04/2020,Chesapeake,Male,1737,165,27
09/04/2020,Chickahominy,Female,739,72,22
09/04/2020,Prince William,Male,6584,592,125
09/04/2020,Eastern Shore,Not Reported,9,0,0
09/04/2020,Eastern Shore,Male,711,67,22
09/04/2020,Rappahannock Rapidan,Male,1124,92,19
09/04/2020,Henrico,Not Reported,26,0,0
09/04/2020,Cumberland Plateau,Female,297,24,5
09/04/2020,West Piedmont,Male,728,92,21
09/04/2020,Hampton,Not Reported,5,0,0
09/04/2020,Alexandria,Not Reported,10,0,0
09/04/2020,Western Tidewater,Not Reported,3,0,0
09/04/2020,Cumberland Plateau,Not Reported,0,0,0
09/04/2020,Virginia Beach,Male,2787,157,38
09/04/2020,Alleghany,Female,648,26,14
09/04/2020,Lenowisco,Female,375,31,4
09/04/2020,Virginia Beach,Not Reported,15,0,0
09/04/2020,Western Tidewater,Female,1647,72,45
09/04/2020,Mount Rogers,Male,939,121,46
09/04/2020,Lord Fairfax,Female,1493,119,50
09/04/2020,Piedmont,Not Reported,4,0,0
09/04/2020,Alexandria,Male,1653,164,28
09/04/2020,Pittsylvania-Danville,Not Reported,8,0,0
09/04/2020,West Piedmont,Not Reported,7,0,0
09/04/2020,Loudoun,Female,3097,174,72
09/04/2020,Hampton,Female,885,18,9
09/04/2020,Henrico,Female,2484,190,104
09/04/2020,Prince William,Not Reported,114,1,0
09/04/2020,Chickahominy,Male,551,72,26
09/04/2020,Rappahannock Rapidan,Not Reported,14,0,0
09/04/2020,Peninsula,Female,2015,87,33
09/04/2020,Lenowisco,Not Reported,5,0,0
09/04/2020,Crater,Not Reported,50,1,0
09/04/2020,Chickahominy,Not Reported,6,0,0
09/04/2020,Portsmouth,Male,1010,87,19
09/04/2020,New River,Female,833,11,3
09/04/2020,Rappahannock,Female,2420,167,25
09/04/2020,Central Virginia,Female,1298,38,8
09/04/2020,Roanoke,Not Reported,13,0,0
09/04/2020,West Piedmont,Female,956,111,15
09/04/2020,Mount Rogers,Female,1162,70,28
09/04/2020,Piedmont,Male,1178,76,30
09/04/2020,Chesterfield,Female,2815,144,51
09/04/2020,Fairfax,Male,9131,1201,292
09/04/2020,Crater,Male,1813,116,40
09/04/2020,Central Virginia,Not Reported,19,0,0
09/04/2020,Prince William,Female,6785,453,94
09/04/2020,Virginia Beach,Female,3358,170,33
09/04/2020,Norfolk,Female,2334,152,26
09/04/2020,Three Rivers,Female,542,48,11
09/04/2020,Arlington,Male,1817,266,76
09/04/2020,Central Shenandoah,Female,1987,123,30
09/04/2020,Southside,Female,520,32,20
12/16/2020,Southside,Not Reported,16,0,0
12/16/2020,Chesapeake,Female,4124,294,46
12/16/2020,Richmond,Female,4051,264,32
12/16/2020,Roanoke,Male,2004,66,38
12/16/2020,Fairfax,Not Reported,252,2,6
12/16/2020,Thomas Jefferson,Female,3327,161,42
12/16/2020,Chesapeake,Not Reported,19,0,0
12/16/2020,Cumberland Plateau,Male,1823,98,29
12/16/2020,Eastern Shore,Female,990,81,26
12/16/2020,Lord Fairfax,Not Reported,50,0,0
12/16/2020,Rappahannock,Not Reported,154,0,0
12/16/2020,Central Shenandoah,Not Reported,269,0,0
12/16/2020,Peninsula,Male,3800,177,52
12/16/2020,Norfolk,Male,3708,247,53
12/16/2020,Alexandria,Female,3357,181,39
12/16/2020,Lenowisco,Male,1783,114,53
12/16/2020,Pittsylvania-Danville,Female,2380,164,50
12/16/2020,New River,Not Reported,57,0,1
12/16/2020,Chesterfield,Not Reported,183,0,4
12/16/2020,Loudoun,Male,6017,330,64
12/16/2020,Rappahannock Rapidan,Female,2454,109,28
12/16/2020,Piedmont,Female,1491,99,21
